title,authors,categories,average_rating,ratings_count
Caesar,Colleen McCullough,Fiction,4.36,5825.0
The Forever War,Joe Haldeman,Fiction,4.15,103375.0
Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,4.14,2040.0
The Secret Sister,Elizabeth Lowell,Fiction,3.65,1164.0
Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,4.25,7678.0
Whirlpool,Elizabeth Lowell,Fiction,3.78,1115.0
"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,4.21,3069.0
Cryptonomicon,Neal Stephenson,Fiction,4.25,80225.0
Falling Up,Shel Silverstein,Juvenile Nonfiction,4.34,114058.0
Anansi Boys,Neil Gaiman,Fiction,4.02,153485.0
Fragile Things,Neil Gaiman,Fiction,4.01,43210.0
What Went Wrong?,Bernard Lewis,History,3.49,2409.0
Letters from the Earth,Mark Twain,Literary Criticism,4.22,6447.0
Savannah Blues,Mary Kay Andrews,Fiction,3.98,15417.0
The Whipping Boy,Sid Fleischman,Juvenile Fiction,3.56,19910.0
The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,3.99,28568.0
A Nose for Murder,Lee Charles Kelley,Fiction,3.47,93.0
Happiness,Will Ferguson,Fiction,3.78,2191.0
Size 12 Is Not Fat,Meg Cabot,Fiction,3.74,73592.0
Warrior of the Light,Paulo Coelho,Fiction,3.7,21578.0
The Devil and Miss Prym,Paulo Coelho,Fiction,3.6,46113.0
The Big Bing,Stanley Bing,Business & Economics,3.08,26.0
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,4.06,547207.0
Walt Whitman,Justin Kaplan,Biography & Autobiography,3.99,210.0
How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,3.75,10211.0
The Outsider,Richard Wright,Fiction,4.16,1736.0
1421,Gavin Menzies,History,3.59,11289.0
The Andromeda Strain,Michael Crichton,Fiction,3.89,192637.0
Congo,Michael Crichton,Fiction,3.58,140223.0
Johnny and the Dead,Terry Pratchett,Juvenile Fiction,3.78,7733.0
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,4.41,256.0
The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,3.96,24.0
The Bradbury Chronicles,Sam Weller,Biography & Autobiography,4.22,352.0
Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,3.74,76.0
The Wicked Day,Mary Stewart,Fiction,4.09,9875.0
The Game,Neil Strauss,Biography & Autobiography,3.74,19305.0
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,4.19,5012.0
Gold,Isaac Asimov,Fiction,3.99,2393.0
The Kindness of Strangers,Katrina Kittle,Fiction,4.01,11432.0
Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,3.98,49529.0
Fluke,Christopher Moore,Fiction,3.75,34773.0
Lord of Light,Roger Zelazny,Fiction,4.1,22530.0
The Perennial Philosophy,Aldous Huxley,Philosophy,4.23,2959.0
A Crack in the Edge of the World,Simon Winchester,History,3.78,5242.0
Dead Witch Walking,Kim Harrison,Fiction,4.04,97105.0
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,4.26,53112.0
"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,3.54,126108.0
Sabriel (adult),Garth Nix,Fiction,4.17,1296.0
Slouching Toward Nirvana,Charles Bukowski,Poetry,3.99,1901.0
Bad Childhood---Good Life,Laura Schlessinger,Self-Help,3.92,502.0
Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,4.3,481.0
Cat Breaking Free,Shirley Rousseau Murphy,Fiction,4.2,204.0
Slider,Patrick Robinson,Sports & Recreation,4.18,64.0
The Black Dahlia Files,Don Wolfe,True Crime,3.84,600.0
Metro Girl,Janet Evanovich,Fiction,3.62,28414.0
Motor Mouth,Janet Evanovich,Fiction,3.67,21885.0
Mystic River,Dennis Lehane,Fiction,4.18,105317.0
