title,authors,categories,average_rating,ratings_count
The Gift of Asher Lev,Chaim Potok,Fiction,4.15,6071.0
Wartime Lies,Louis Begley,Fiction,3.7,503.0
Naked Came the Manatee,Carl Hiaasen;Dave Barry;Elmore Leonard,Fiction,3.49,2253.0
Murder in Foggy Bottom,Margaret Truman,Fiction,3.7,657.0
Your Oasis on Flame Lake,Lorna Landvik,Fiction,3.59,2140.0
The Bride Finder,Susan Carroll,Fiction,3.81,1215.0
A Thread of Grace,Mary Doria Russell,Fiction,4.02,11450.0
Children of God,Mary Doria Russell,Fiction,4.06,14493.0
Catching Alice,Clare Naylor,Fiction,3.35,916.0
A Pirate Looks at Fifty,Jimmy Buffett,Biography & Autobiography,3.83,2927.0
Midnight Voices,John Saul,Fiction,3.75,2696.0
Murder at Ford's Theatre,Margaret Truman,Fiction,3.72,592.0
The Changeling,Philippa Carr,Fiction,3.99,341.0
"Lost Boy, Lost Girl",Peter Straub,Fiction,3.48,3940.0
Iberia,James Albert Michener,Literary Criticism,3.7,2067.0
The Bridge at Andau,James A. Michener,Fiction,3.94,1076.0
Drifters,James A. Michener,Fiction,4.04,6037.0
Journey,James A. Michener,Fiction,3.8,1507.0
Driving Force,Dick Francis,Fiction,3.96,2548.0
Darker Than Amber,John D. MacDonald,Fiction,4.04,2544.0
Asylum,John Saul,Fiction,4.1,908.0
Centennial,James A. Michener,Historical Fiction,4.23,94.0
Ice Castles,Leonore Fleischer,Blind,3.87,161.0
Winter of Magic's Return,Pamela F. Service,Fantasy.,4.25,227.0
Indian Givers,J. McIver Weatherford,History,4.12,1668.0
The Dragon Doesn't Live Here Anymore,Alan Cohen,"Body, Mind & Spirit",4.27,165.0
The All-true Travels and Adventures of Lidie Newton,Jane Smiley,Fiction,3.57,2080.0
And I Don't Want to Live this Life,Deborah Spungen,Biography & Autobiography,4.09,4595.0
Davita's Harp,Chaim Potok,Fiction,3.98,4869.0
The Tin Can Tree,Anne Tyler,Fiction,3.6,2325.0
Rabbit at Rest,John Updike,Fiction,3.97,13038.0
The Shining,Stephen King,Boys,4.21,911271.0
The Dark Half,Stephen King,English fiction,3.76,105027.0
Nightmares and Dreamscapes,Stephen King,English fiction,3.93,61981.0
"Capitalism, the Unknown Ideal",Ayn Rand;Clarence Belden Randall,Capitalism,3.87,3426.0
'Salem's Lot,Stephen King,Fiction,4.01,399.0
The Dead Zone,Stephen King,Fiction,3.92,145883.0
Fools Die,Mario Puzo,Fiction,3.71,5017.0
I Never Promised You a Rose Garden,Joanne Greenberg,Mental illness,3.86,23725.0
Cujo,Stephen King,Fiction,3.7,2575.0
For the New Intellectual,Ayn Rand,Literary Collections,3.68,2674.0
The Virtue of Selfishness,Ayn Rand;Nathaniel Branden,Philosophy,3.5,11122.0
The Eyes of the Dragon,Stephen King,Fiction,3.93,2849.0
Skeleton Crew,Stephen King,Fiction,3.95,1857.0
It,Stephen King,Fiction,4.23,293877.0
The Langoliers,Stephen King,Horror tales,3.92,262.0
Matters of Choice,Noah Gordon,Fiction,3.37,2548.0
The Bone Collector,Jeffery Deaver,Fiction,4.19,132188.0
Thinner,Stephen King;Richard Bachman,Allegories,3.7,147510.0
Ritual Sins,Anne Stuart,Fiction,3.69,664.0
Wizard and Glass,Stephen King,Fiction,4.25,864.0
The Running Man,Stephen King;Richard Bachman,Fiction,3.86,79294.0
Devil's Embrace,Catherine Coulter,Fiction,3.8,3319.0
The Stranger Beside Me,Ann Rule,True Crime,4.14,47930.0
Trauma,Graham Masterton,Fiction,3.54,333.0
Dead Sleep,Greg Iles,Fiction,4.04,7844.0
Blessings from the Other Side,Sylvia Browne;Lindsay Harrison,"Body, Mind & Spirit",3.95,38.0
The pillars of the earth,Ken Follett,Fiction,4.31,530446.0
The Love You Make,Peter Brown;Steven S. Gaines,Biography & Autobiography,4.09,2438.0
Trapped,Greg Iles,Fiction,3.99,313.0
Jackdaws,Ken Follett,Fiction,3.95,352.0
The Oath,John Lescroart,Fiction,4.02,2681.0
The Key to Rebecca,Ken Follett,Fiction,3.88,18661.0
Black Like Me,John Howard Griffin,Biography & Autobiography,4.13,52092.0
The Man from St. Petersburg,Ken Follett,Fiction,3.87,15320.0
Codebreakers' Victory,Hervie Haufler,History,4.15,39.0
No Second Chance,Harlan Coben,Fiction,4.07,21141.0
A Case of Need,Michael Crichton,Fiction,3.7,15655.0
The Drawing of the Three,Stephen King,Fiction,4.23,163647.0
A Whole Lotta Love,Donna Hill;Brenda Jackson;Monica Jackson;Francis Ray,Fiction,4.46,646.0
Night Over Water,Ken Follett,FICTION,3.81,13965.0
Monkeewrench,P. J. Tracy,Fiction,4.12,7696.0
On Wings of Eagles,Ken Follett,History,3.93,7462.0
The Agony and the Ecstasy,Irving Stone,Fiction,4.07,903.0
The Innocent,Harlan Coben,Fiction,3.96,20470.0
Dispatch,Bentley Little,Fiction,3.61,1259.0
Dark Lover,J. R. Ward,Fiction,4.2,250693.0
The Godfather,Mario Puzo,Fiction,4.37,177.0
Black Sunday,Thomas Harris,Fiction,3.6,6784.0
Bitter is the New Black,Jen Lancaster,Biography & Autobiography,3.9,43933.0
A Certain Justice,John T. Lescroart,Fiction,4.0,2921.0
Lover Eternal,J. R. Ward,Fiction,4.35,152091.0
Promise Me,Harlan Coben,Fiction,3.98,20365.0
Lover Awakened,J. R. Ward,Fiction,4.45,141779.0
Belle Ruin,Martha Grimes,Fiction,3.51,1125.0
What Angels Fear,C. S. Harris,Fiction,3.89,9606.0
The Last Templar,Raymond Khoury,Fiction,3.6,36519.0
The Old Wine Shades,Martha Grimes,Fiction,3.61,2566.0
"Bright Lights, Big Ass",Jen Lancaster,Biography & Autobiography,4.06,28477.0
Angel Christmas,Topaz;Mary Balogh;Emma Merritt;Marilyn Campbell;Patricia Rice;Carole Nelson Douglas,Fiction,3.56,70.0
Shadow Lover,Anne Stuart,Fiction,3.8,1105.0
The Medusa Stone,Jack Du Brul,Fiction,4.09,1312.0
Pandora's Curse,Jack Du Brul,Fiction,4.17,1541.0
River of Ruin,Jack Du Brul,Fiction,4.19,1162.0
Deep Fire Rising,Jack Du Brul,Fiction,4.17,1021.0
Jerusalem Inn,Martha Grimes,Fiction,3.96,3429.0
Vulcan's Forge,Jack Du Brul,Fiction,3.99,3296.0
Charon's Landing,Jack Du Brul,Fiction,4.07,1069.0
Lover Revealed,J. R. Ward;Jessica Bird Ward,Fiction,4.3,104180.0
Robot Visions,Isaac Asimov,Fiction,4.22,7425.0
Dealing in Futures,Joe Haldeman,Fiction,3.72,185.0
Bored of the Rings,Henry Beard;Harvard Lampoon;Douglas C. Kenney,Fiction,3.12,4325.0
The Innkeeper's Song,Peter S. Beagle,Fiction,3.89,1979.0
The Forest House,Marion Zimmer Bradley,Fiction,3.86,14898.0
Not of Woman Born,Constance Ash;Robert A. Silverberg,Fiction,3.8,59.0
The River's Gift,Mercedes Lackey,Fiction,3.88,1029.0
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson;Vladimir Vladimirovich Nabokov,Fiction,3.8,434.0
Les Miserables a New Unabridged Translation,Victor Hugo,Fiction,4.16,559595.0
Arrowsmith,Sinclair Lewis,Fiction,3.81,5741.0
The Call of the Wild and Selected Stories,Jack London,Fiction,3.83,53.0
The Odyssey,Homer,Fiction,3.75,252.0
Great Dialogues of Plato,Plato,Philosophy,4.16,1891.0
The Hunchback of Notre-Dame,Victor Hugo;Walter J. Cobb,Fiction,3.99,136349.0
Paradise Lost and Paradise Regained,John Milton,Poetry,4.08,320.0
Ten Great Works of Philosophy,Robert Paul Wolff,Fiction,3.82,85.0
"The Adventures of Tom Sawyer, And, Adventures of Huckleberry Finn",Mark Twain,Fiction,4.08,32742.0
The Death of Ivan Ilych and Other Stories,graf Leo Tolstoy,Fiction,4.1,7123.0
Anne of Green Gables,Lucy Maud Montgomery,Fiction,4.24,583568.0
Grade 4 Common Core Exemplar Collection,Various authors,English language,4.13,1709.0
The Origin of Species,Charles Darwin,Fiction,3.99,760.0
The Travels of Marco Polo,Marco Polo;Milton Rugoff;Howard Mittelmark,Biography & Autobiography,3.59,64.0
Around the World in Eighty Days,Jules Verne,Fiction,3.92,148.0
David Copperfield,Charles Dickens,Fiction,3.98,352.0
A Portrait of the Artist as a Young Man,James Joyce,Fiction,3.61,417.0
"Chekhov, the Major Plays",Anton Pavlovich Chekhov,Drama,4.18,94.0
The Autobiography of Andrew Carnegie and the Gospel of Wealth,Andrew Carnegie,Biography & Autobiography,4.0,346.0
Four Plays,Aristophanes,Drama,4.06,5986.0
The Oedipus Plays of Sophocles,Sophocles;Paul Roche,Drama,3.97,529.0
Atlas Shrugged,Ayn Rand,Capitalism,3.68,311883.0
Sleeping Beauty Novels,A.N. Roquelaure,Fiction,3.99,10728.0
Stephen King's Creepshow,Stephen King;Berni Wrightson;Michele Wrightson,Fiction,4.07,33816.0
Song of Solomon,Toni Morrison,Fiction,4.04,1647.0
"Because it is Bitter, and Because it is My Heart",Joyce Carol Oates,Fiction,3.89,2631.0
When Food is Love,Geneen Roth,Family & Relationships,4.04,1474.0
Feeding the Hungry Heart,Geneen Roth,Health & Fitness,3.97,717.0
Breaking Free from Compulsive Eating,Geneen Roth,Self-Help,4.01,179.0
"The Porcelain Dove, Or, Constancy's Reward",Delia Sherman,Fiction,3.42,203.0
For Keeps,Pauline Kael,Performing Arts,4.47,360.0
In the Time of the Butterflies,Julia Alvarez,Dominican Republic,4.14,44546.0
Zombie,Joyce Carol Oates,Fiction,3.34,5722.0
The McDougall Quick and Easy Cookbook,John A. McDougall;Mary McDougall,Cooking,3.98,294.0
Man Crazy,Joyce Carol Oates,Fiction,3.39,118.0
Savage Love,Dan Savage,Self-Help,3.84,885.0
Journals of Ayn Rand,Ayn Rand;Leonard Peikoff;David Harriman,Biography & Autobiography,3.95,307.0
Something to Declare,Julia Alvarez,Literary Criticism,3.98,711.0
Anthem,Ayn Rand,Fiction,3.63,106642.0
The Feeling Good Handbook,David D. Burns,Psychology,4.0,4666.0
Beauty's Punishment,A. N. Roquelaure;Anne Rice,Fiction,3.62,21844.0
Hot Chocolate for the Mystical Lover,Arielle Ford,"Body, Mind & Spirit",4.11,36.0
The Bluest Eye,Toni Morrison,Fiction,4.0,3262.0
We Were the Mulvaneys,Joyce Carol Oates,Fiction,3.72,83736.0
1984,George Orwell,London (England),4.17,9298.0
Riding the Bus with My Sister,Rachel Simon,Biography & Autobiography,3.75,5020.0
A Long Short War,Christopher Hitchens,Political Science,3.74,363.0
Stolen,Kelley Armstrong,Fiction,4.15,36843.0
Bitten,Kelley Armstrong,Fiction,4.05,77935.0
The Jane Austen Book Club,Karen Joy Fowler,Fiction,3.08,56434.0
How the García Girls Lost Their Accents,Julia Alvarez,Fiction,3.63,17234.0
War and Peace and War,Peter Turchin,History,4.15,252.0
The Bachman Books,Stephen King,Fiction,4.11,1064.0
The Sword and the Shield,Christopher Andrew;Vasili Mitrokhin,History,3.93,1085.0
The Clock Of The Long Now,Stewart Brand,Philosophy,4.11,508.0
The Evolution of Desire,David M. Buss,Health & Fitness,4.07,1320.0
Crime And Punishment In American History,Lawrence Friedman,Law,3.89,108.0
The Culture of Fear,Barry Glassner,Social Science,3.7,3025.0
The Drama of the Gifted Child,Alice Miller,Psychology,4.09,11373.0
Drama Of The Gifted,Alice Miller,Psychology,4.09,94.0
After Theory,Terry Eagleton,Literary Collections,3.83,756.0
The Pleasure of Finding Things Out,Richard Phillips Feynman,Science,4.25,8014.0
The Classical World,Robin Lane Fox,History,3.92,1222.0
Why is sex fun?,Jared M. Diamond,Health & Fitness,3.71,4256.0
Knowledge And Decisions,Thomas Sowell,Law,4.38,720.0
Philosophy In The Flesh,George Lakoff,Philosophy,4.07,1100.0
The Republic of Plato,Allan Bloom,Philosophy,3.93,1637.0
River Out of Eden,Richard Dawkins,Science,3.97,5653.0
Shattered Bonds,Dorothy E. Roberts,Political Science,4.2,145.0
A Conflict Of Visions,Thomas Sowell,History,4.32,1668.0
Applied Economics,Thomas Sowell,Business & Economics,4.14,1466.0
Not Even Wrong,Peter Woit,Science,3.93,1447.0
Jane Austen For Dummies,Joan Elizabeth Klingel Ray,Biography & Autobiography,4.02,517.0
Personal Finance For Dummies,Eric Tyson,Business & Economics,3.77,113.0
Crash Proof,Peter D. Schiff;John Downes,Business & Economics,3.79,1066.0
eBay For Dummies,Marsha Collier,Business & Economics,3.5,102.0
Texas Hold'em For Dummies,Mark Harlan,Games & Activities,3.83,98.0
Fundamentals of Heat and Mass Transfer 6th Edition with IHT/FEHT 3.0 CD with User Guide Set,Frank P. Incropera,Science,4.0,6.0
The Man Who Changed Everything,Basil Mahon,Biography & Autobiography,4.12,450.0
Extraordinary Popular Delusions and the Madness of Crowds and ConfusiÃ3n de Confusiones,Charles Mackay,Business & Economics,3.91,34.0
The Skeptic's Dictionary,Robert Carroll,Science,4.03,522.0
Color Drawing,Michael E. Doyle,Architecture,4.22,153.0
A Modernist View of Plated Desserts (Grand Finales),Tish Boyle;Timothy Moriarty,Cooking,4.24,17.0
Bad Astronomy,Philip C. Plait,Science,4.04,5113.0
The Warren Buffett CEO,Robert P. Miles,Business & Economics,4.05,36.0
The Science of Sherlock Holmes,E. J. Wagner,Law,4.22,1989.0
All the Shah's Men,Stephen Kinzer,History,4.24,4933.0
Information Technology for Management,Efraim Turban,Computers,3.93,107.0
Limbo,Alfred Lubrano,Social Science,4.11,559.0
Data Structures and Algorithms in Java,Michael T. Goodrich;Roberto Tamassia,Computers,3.82,151.0
The Warren Buffett Way,Robert G. Hagstrom,Biography & Autobiography,4.12,218.0
Lady on the Hill,Howard E. Covington,Travel,3.89,371.0
Baby Signing For Dummies,Jennifer Watson,Family & Relationships,3.63,36.0
Power of An Hour,Dave Lakhani,Business & Economics,3.31,163.0
The Science of Stephen King,Lois H. Gresh;Robert Weinberg,Literary Criticism,3.49,58.0
Feminist Measures,Lynn Keller;Cristanne Miller,Social Science,4.4,5.0
Simulacra and Simulation,Jean Baudrillard,Social Science,3.98,8919.0
Their Sisters' Keepers,Estelle B. Freedman,History,4.23,21.0
The Philosophy of History,Georg Wilhelm Friedrich Hegel,History,3.82,28.0
The Will to Believe,William James,Philosophy,4.06,429.0
Fads and Fallacies in the Name of Science,Martin Gardner,Science,4.06,998.0
Three Graphic Novels,E.F. Bleiler,Fiction,3.75,225.0
Best Science Fiction Stories of H. G. Wells,Herbert George Wells,Literary Collections,3.84,60.0
The World as Will and Representation,Arthur Schopenhauer,Philosophy,4.18,7203.0
Technical Manual and Dictionary of Classical Ballet,Gail Grant,Performing Arts,4.37,377.0
Lost Continents,Lyon Sprague De Camp,Social Science,3.64,103.0
Mozart's Don Giovanni,Wolfgang Amadeus Mozart;Ellen H. Bleiler;Lorenzo Da Ponte,Music,3.93,50.0
1001 Illuminated Initial Letters,Owen Jones,Design,3.46,11.0
Galapagos,William Beebe,Nature,3.84,31.0
Bartleby and Benito Cereno,Herman Melville,Fiction,3.8,2107.0
Candide,Voltaire,Fiction,3.76,172319.0
"Young Goodman Brown, and Other Short Stories",Nathaniel Hawthorne,Fiction,3.86,8914.0
The Gift of the Magi and Other Short Stories,O. Henry,Fiction,4.14,4337.0
The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,Poetry,3.94,3005.0
A Diderot Pictorial Encyclopedia of Trades and Industry,Denis Diderot,Design,3.6,5.0
"The Road Not Taken, and Other Poems",Robert Frost,Poetry,4.27,33004.0
The Secret Garden Coloring Book,Frances Hodgson Burnett,Juvenile Nonfiction,4.25,4.0
The Adventures of Jimmy Skunk,Thornton W. Burgess;Harrison Cady;Thea Kliros,Juvenile Fiction,4.13,258.0
The Marriage of Heaven and Hell,William Blake,Art,4.24,6894.0
Children's Christmas Stories and Poems,Candace Ward,Juvenile Fiction,4.5,2.0
A Modest Proposal and Other Satirical Works,Jonathan Swift,Literary Collections,4.05,13312.0
Great Short Stories by American Women,Candace Ward,Fiction,3.95,289.0
The Oresteia Trilogy,Aeschylus;E. D. A. Morshead,Drama,4.01,87.0
Black Beauty Coloring Book,Anna Sewell;John Green,Juvenile Nonfiction,4.25,68.0
Ballet Class Coloring Book,John Green;Caroline Denzler,Juvenile Nonfiction,3.64,11.0
Best Ghost and Horror Stories,Bram Stoker;Richard Dalby;Stefan R. Dziemianowicz;S. T. Joshi,Fiction,3.49,54.0
Enter Jeeves,P. G. Wodehouse;David A. Jasen,Fiction,4.2,649.0
The Wit and Wisdom of Mark Twain,Mark Twain,Literary Criticism,4.2,934.0
An Ideal Husband,Oscar Wilde,Humor,4.04,32213.0
Politics,Aristotle;Benjamin Jowett;H. W. C. Davis,Political Science,3.93,25018.0
The Canterville Ghost and Other Stories,Oscar Wilde,Fiction,3.93,1653.0
The House of Mirth,Edith Wharton,Fiction,3.95,743.0
Letters to a Young Poet,Rainer Maria Rilke;Franz Xaver Kappus;Reginald Snell,Poetry,4.33,30561.0
Women in Love,D. H. Lawrence,Fiction,3.66,23892.0
The Trojan Women and Hippolytus,Euripides,Drama,3.56,31.0
Life Is a Dream/La Vida Es Sueño,Pedro Calderon de la Barca;Stanley Appelbaum,Foreign Language Study,3.98,52.0
The Pilgrim's Progress,John Bunyan,Fiction,3.99,81657.0
Gorgias and Timaeus,Plato;Benjamin Jowett,Literary Collections,3.74,30.0
Great Russian Short Stories,Paul Negri,Fiction,4.0,155.0
Babbitt,Sinclair Lewis,Fiction,3.66,238.0
The Jew of Malta,Christopher Marlowe;Havelock Ellis,Drama,3.61,2822.0
The Idiot,Fyodor Dostoyevsky;Constance Garnett,Fiction,4.18,66.0
Critique of Pure Reason,Immanuel Kant;J. M. D. Meiklejohn,Philosophy,3.94,69.0
Discourse on the Origin of Inequality,Jean-Jacques Rousseau,Philosophy,3.83,9630.0
The Sword of Welleran,Lord Dunsany,Fiction,4.04,304.0
Autobiography of Thomas Jefferson,Thomas Jefferson,History,3.86,598.0
Philosophy of Right,G. W. F. Hegel;S. W. Dyde,Philosophy,3.86,19.0
The Worm Ouroboros,E. R. Eddison;Keith Henderson,Fiction,3.7,2835.0
Great Speeches by African Americans,James Daley,Social Science,4.29,222.0
Intimate Journals,Charles Baudelaire;Christopher Isherwood;W. H. Auden,Literary Collections,3.73,210.0
On the Origin of Species,Charles Darwin,Science,3.99,171.0
The Kingdom of God Is Within You,Leo Tolstoy;Constance Garnett,Religion,4.13,2256.0
Quicksand,Nella Larsen,Fiction,3.67,172.0
Sociology in Our Times,Diana Kendall,Science,3.22,1.0
A History of Modern Psychology,Duane Schultz;Sydney Schultz,Psychology,3.85,179.0
The Seventy Wonders of the Ancient World,Christopher Scarre,Architecture,4.02,31.0
Jean-Jacques Rousseau and His World,Sir Gavin De Beer,Écrivains français - 18e siècle - Biographies,3.2,0.0
Graphic Design,Richard Hollis,Art,3.99,648.0
Greek Mythology,Richard Buxton,Mythology,4.23,1506.0
The Rainbow Goblins,Ul De Rico,Juvenile Fiction,4.42,1383.0
Big Bad Wolf,Linda Jones;Linda Winstead,Fiction,3.82,119.0
An Original Sin,Nina Bangs,Fiction,3.75,367.0
Aphrodite's Passion,Julie Kenner,Fiction,3.62,524.0
Call of the Moon,Ronda Thompson,Fiction,3.74,125.0
Love Bites,Lynsay Sands,Fiction,4.12,18316.0
Dancing on my grave,Gelsey Kirkland,Biography & Autobiography,3.79,1555.0
The Aviators,W. E. B. Griffin,Fiction,4.24,2503.0
The Valentine Legacy,Catherine Coulter,Fiction,3.88,2104.0
The Maze,Catherine Coulter,Fiction,4.11,12339.0
Cold Blood,Lynda La Plante,Fiction,3.93,11.0
Flying Finish,Dick Francis,Fiction,3.93,2494.0
Heart of the Sea,Nora Roberts,Fiction,4.15,23839.0
Out of this World,Francesca Lia Block,Fiction,4.07,5915.0
Beyond Seduction,Emma Holly,Fiction,3.69,1308.0
Shadow Game,Christine Feehan,Fiction,4.12,15364.0
Laurell K. Hamilton Set,Laurell K. Hamilton,Fiction,4.51,3276.0
After Glow,Jayne Castle;Jayne Ann Krentz,Fiction,4.13,4023.0
Cravings,MaryJanice Davidson;Eileen Wilks;Rebecca York,Fiction,3.81,7853.0
Bite,Charlaine Harris;MaryJanice Davidson;Angela Knight;Vickie Taylor,Fiction,3.77,14887.0
"Incubus Dreams: An Anita Blake, Vampire Hunter Novel",Laurell K. Hamilton,Fiction,3.79,41105.0
Micah. (Anita Blake,Laurell K. Hamilton,"Blake, Anita (Fictitious character)",3.63,39241.0
Ghost Hunter,Jayne Castle,Fiction,4.13,4246.0
Morrigan's Cross,Nora Roberts,Fiction,4.14,45372.0
Dance of the Gods,Nora Roberts,Fiction,4.14,24552.0
Valley of Silence,Nora Roberts,Fiction,4.22,1344.0
The Complete Science Fiction Treasury of H.G. Wells,H. G. Wells,"Science fiction, English.",4.13,45.0
Complete Poems,Edgar Allan Poe,Poetry,4.32,191.0
The Complete Hans Christian Andersen Fairy Tales,Hans Christian Andersen,Juvenile Fiction,4.28,95929.0
Four Novels,Charles Dickens,Fiction,4.29,31.0
A New Collection of Three Complete Novels,Michael Crichton,Fiction,3.99,943.0
Jane Austen : the Complete Novels,Jane Austen,England,4.55,264.0
Two Complete Novels,Douglas Adams,"Detective and mystery stories, English.",4.18,238.0
The Tolkien Companion,J. E. A. Tyler;John Ronald Reuel Tolkien,Literary Criticism,4.11,828.0
John Irving,John Irving,Fiction,3.82,296.0
The Ultimate Hitchhiker's Guide,Douglas Adams,Fiction,4.38,2801.0
The Crossing,Cormac McCarthy,Fiction,4.12,226.0
The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,Fiction,4.33,2135.0
Three Terrifying Bestselling Novels,John Saul,Fiction,4.5,321.0
The Secret Garden,Frances Hodgson Burnett,Juvenile Fiction,4.13,725384.0
Three complete novels,Stephen King,Fiction,4.53,12320.0
A Christmas Carol and the Night Before Christmas,Charles Dickens;Arthur Rackham;Clement Clarke Moore,Fiction,4.33,85.0
Works of Jack London,Jack London,Adventure stories,4.19,19.0
Daphne Dumaurier,"Outlet;Outlet Book Company Staff;Daphne du Maurier, Dam;Random House Value Publishing Staff;Rh Value Publishing",Fiction,4.12,33.0
Favorite Tales of Sholom Aleichem,Sholem Aleichem;Julius Butwin;Frances Butwin,Fiction,4.23,62.0
H.G. Wells Science Fiction Treasury,Herbert George Wells,"Science fiction, English",3.94,17.0
Be Here Now,Ram Dass,"Body, Mind & Spirit",4.29,20105.0
"Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology, Specially Arranged for Children Five and Up by an Educational Expert",William F. Russell,Fiction,4.09,235.0
The Illustrated Hitchhiker's Guide to the Galaxy,Douglas Adams,Science,4.32,286.0
China and Japan,Donald A. Mackenzie,Travel,3.55,19.0
The Orion Mystery,Robert Bauval,History,3.93,1076.0
The Pound Era,Hugh Kenner,Literary Criticism,4.39,591.0
The Haunted Screen,Lotte H. Eisner,Performing Arts,4.18,258.0
The Politics of Cultural Despair,Fritz R. Stern,History,4.05,90.0
Europe and the People Without History,Eric R. Wolf,Social Science,4.13,962.0
The Responsibility of Forms,Roland Barthes,Literary Criticism,3.94,92.0
Balanchine,Bernard Taper,Biography & Autobiography,4.31,60.0
"Haiti, History, and the Gods",Joan Dayan,History,3.95,37.0
Masculinity and Male Codes of Honor in Modern France,Robert A. Nye,History,4.36,14.0
Infections and Inequalities,Paul Farmer,Medical,4.08,2474.0
Undertaker of the Mind,Jonathan Andrews;Andrew T. Scull,Biography & Autobiography,3.42,12.0
Exiled in Paris,James Campbell,Biography & Autobiography,3.97,37.0
The Whole World Is Watching,Todd Gitlin,Political Science,3.71,81.0
Berlioz,David Cairns,Biography & Autobiography,4.27,3.0
浅草紅団,Yasunari Kawabata,Fiction,3.35,349.0
The Poems of Exile,Ovid,History,4.12,412.0
Pathologies of Power,Paul Farmer,History,4.25,3802.0
Giovanni and Lusanna,Gene Brucker,History,3.56,250.0
World Atlas of Great Apes and Their Conservation,Julian Oliver Caldecott;Lera Miles,Nature,4.56,9.0
Storming the Gates of Paradise,Rebecca Solnit,History,4.2,221.0
Gardening with a Wild Heart,Judith Larner Lowry,Gardening,4.29,11.0
Spinoza,Steven Nadler;Steven M. Nadler,Biography & Autobiography,4.09,220.0
The Ethics and Politics of Asylum,Matthew J. Gibney,Law,3.55,10.0
Insurgent Collective Action and Civil War in El Salvador,Elisabeth Jean Wood;Wood Elisabeth Jean,History,3.8,50.0
Who Needs Greek?,Simon Goldhill,History,3.4,10.0
Moral Luck,Bernard Williams,Philosophy,4.1,110.0
Evolution and the Theory of Games,John Maynard Smith,Science,4.0,80.0
Problems of the Self,Bernard Williams,Philosophy,4.02,52.0
The Winter's Tale,William Shakespeare;Susan Snyder;Deborah T. Curren-Aquino,Drama,3.69,17397.0
Tolstoy: Anna Karenina,Anthony Thorlby,Literary Criticism,4.19,1191.0
Reading Greek Tragedy,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill,Drama,4.04,27.0
Gabriel García Márquez: One Hundred Years of Solitude,Michael Wood,Language Arts & Disciplines,4.51,2899.0
"Philosophical Papers: Volume 1, Human Agency and Language",Charles Taylor,Philosophy,4.31,48.0
Cicero: On Duties,Cicero;Marcus Tullius Cicero;Quintus Tullius Cicero,History,3.95,1281.0
Hegel: Elements of the Philosophy of Right,Georg Wilhelm Fredrich Hegel,History,3.86,2755.0
The Collapse of Complex Societies,Joseph Tainter,Social Science,4.13,676.0
The Return of Grand Theory in the Human Sciences,Quentin Skinner,History,3.82,26.0
Fitzgerald: All The Sad Young Men,F. Scott Fitzgerald,Fiction,3.95,336.0
The Rise and Fall of Anne Boleyn,Retha M. Warnicke,History,3.95,1309.0
Numerical Recipes in C,William H. Press,C (Computer program language),3.86,7.0
The Invention of Tradition,"Hobsbawm, E. J. Hobsbawm;Eric Hobsbawm;Terence Ranger",History,3.96,765.0
The Myth of the Magus,E. M. Butler;Eliza Marian Butler,Religion,3.71,28.0
Nations and Nationalism Since 1780,E. J. Hobsbawm,History,3.89,1136.0
The Cambridge Companion to Plotinus,Lloyd Phillip Gerson;Lloyd P. Gerson,Philosophy,4.3,20.0
Foucault's Virginity,Simon Goldhill;Professor of Greek Literature and Culture and Fellow and Director of Studies in Classics Simon Goldhill,History,3.75,11.0
Aristotle: The Politics and the Constitution of Athens,Aristotle,History,3.94,381.0
The Cambridge Companion to Jane Austen,John O. Jordan,Literary Criticism,4.08,308.0
King Richard II,William Shakespeare;Andrew Gurr,Drama,3.77,83.0
"Hamlet, Prince of Denmark",William Shakespeare;Philip Edwards,Drama,4.01,141.0
Twelfth Night Or What You Will,William Shakespeare;Elizabeth Story Donno,Drama,3.98,58.0
Aeschylus: The Oresteia,Simon Goldhill,Drama,4.03,28.0
Nietzsche: Daybreak,Friedrich Nietzsche,Philosophy,4.17,786.0
The Tragedy of King Lear,William Shakespeare;Jay L. Halio,Drama,3.9,118.0
The Cambridge Companion to Schopenhauer,Christopher Janaway,Philosophy,3.89,18.0
Nietzsche: The Birth of Tragedy and Other Writings,Friedrich Nietzsche;Nietzsche Friedrich,Philosophy,4.02,365.0
Pearl S. Buck,Peter Conn;Peter J. Conn,Biography & Autobiography,4.17,98.0
Practical Philosophy,Immanuel Kant,Philosophy,4.09,279.0
The Cambridge Companion to Cervantes,Anthony J. Cascardi,Literary Criticism,3.6,10.0
Numerical Recipes Example Book (C++),William T. Vetterling,Computers,2.75,4.0
Jungle Love Level 5,Margaret Johnson,Foreign Language Study,3.37,57.0
Genres in Dialogue,Andrea Wilson Nightingale,Literary Collections,4.33,5.0
Charles Taylor,Ruth Abbey;Lecturer in Philosophy Ruth Abbey;Cambridge University Press,History,3.6,14.0
A First Course in String Theory,Barton Zwiebach,Science,4.18,172.0
