title,authors,categories,average_rating,ratings_count,combined_features
Jane's Warlord,Angela Knight,Fiction,3.97,2540.0,Jane's Warlord Angela Knight Fiction
Dirk Pitt,Clive Cussler,Arctic regions,3.84,17702.0,Dirk Pitt Clive Cussler Arctic regions
The Mediterranean Caper,Clive Cussler,Fiction,3.77,14660.0,The Mediterranean Caper Clive Cussler Fiction
10 Lb. Penalty,Dick Francis,Fiction,3.89,3363.0,10 Lb. Penalty Dick Francis Fiction
Goddess of Spring,P. C. Cast,Fiction,4.22,7259.0,Goddess of Spring P. C. Cast Fiction
Guilty Pleasures,Laurell K. Hamilton,Fiction,4.02,112848.0,Guilty Pleasures Laurell K. Hamilton Fiction
Odds Against,Dick Francis,Fiction,4.05,3613.0,Odds Against Dick Francis Fiction
Death's Acre,Bill Bass;William M. Bass;Jon Jefferson,True Crime,4.18,8118.0,Death's Acre Bill Bass;William M. Bass;Jon Jefferson True Crime
Pattern Recognition,William Gibson,Fiction,3.87,37313.0,Pattern Recognition William Gibson Fiction
Blow Fly,Patricia Cornwell,Fiction,3.76,31269.0,Blow Fly Patricia Cornwell Fiction
Master of the Night,Angela Knight,Fiction,3.88,4597.0,Master of the Night Angela Knight Fiction
Blood Sport,Dick Francis,Fiction,3.87,4475.0,Blood Sport Dick Francis Fiction
Trojan Odyssey,Clive Cussler,Fiction,3.93,14788.0,Trojan Odyssey Clive Cussler Fiction
The Glass House,Ashley Gardner,Fiction,4.04,1076.0,The Glass House Ashley Gardner Fiction
Break in,Dick Francis,Fiction,4.03,3608.0,Break in Dick Francis Fiction
Murder on the Orient Express,Agatha Christie,Fiction,4.16,144452.0,Murder on the Orient Express Agatha Christie Fiction
The Magyar Venus,Lyn Hamilton,Fiction,3.72,255.0,The Magyar Venus Lyn Hamilton Fiction
Tom Clancy's Splinter Cell,David Michaels,Fiction,3.85,10106.0,Tom Clancy's Splinter Cell David Michaels Fiction
Goddess of Light,P. C. Cast,Fiction,4.04,5423.0,Goddess of Light P. C. Cast Fiction
Master of the Moon,Angela Knight,Fiction,4.13,2859.0,Master of the Moon Angela Knight Fiction
Hideaway,Dean Ray Koontz,Fiction,3.83,29475.0,Hideaway Dean Ray Koontz Fiction
Lost City,Clive Cussler,Fiction,3.89,211.0,Lost City Clive Cussler Fiction
Black Wind,Clive Cussler;Dirk Cussler,Fiction,3.85,9757.0,Black Wind Clive Cussler;Dirk Cussler Fiction
The Archimedes Effect,Tom Clancy;Steve Perry;Steve R. Pieczenik;Larry Segriff,Fiction,3.98,1238.0,The Archimedes Effect Tom Clancy;Steve Perry;Steve R. Pieczenik;Larry Segriff Fiction
Dark Watch,Clive Cussler;Jack B. Du Brul,Fiction,4.09,5749.0,Dark Watch Clive Cussler;Jack B. Du Brul Fiction
Shakespeare's Landlord,Charlaine Harris,Fiction,3.76,22369.0,Shakespeare's Landlord Charlaine Harris Fiction
Captive Dreams,Angela Knight;Diane Whiteside,Fiction,3.91,1349.0,Captive Dreams Angela Knight;Diane Whiteside Fiction
Danse Macabre,Laurell K. Hamilton,Fiction,3.81,788.0,Danse Macabre Laurell K. Hamilton Fiction
Goddess of the Rose,P. C. Cast,Fiction,4.14,5367.0,Goddess of the Rose P. C. Cast Fiction
Master of Swords,Angela Knight,Fiction,4.2,2784.0,Master of Swords Angela Knight Fiction
Boys That Bite,Mari Mancusi,Juvenile Fiction,3.68,10490.0,Boys That Bite Mari Mancusi Juvenile Fiction
Shadow of the Moon,Rebecca York,Fiction,3.79,530.0,Shadow of the Moon Rebecca York Fiction
Steamed,Jessica Conant-Park;Susan Conant,Fiction,3.47,942.0,Steamed Jessica Conant-Park;Susan Conant Fiction
Rat Race,Dick Francis,Fiction,3.94,2308.0,Rat Race Dick Francis Fiction
Mysteria,MaryJanice Davidson,Fiction,3.72,3006.0,Mysteria MaryJanice Davidson Fiction
Skeleton Coast,Clive Cussler,Fiction,4.12,7355.0,Skeleton Coast Clive Cussler Fiction
Strange Candy,Laurell K. Hamilton,Fiction,3.75,15140.0,Strange Candy Laurell K. Hamilton Fiction
Bit the Jackpot,Erin McCarthy,Fiction,3.88,4186.0,Bit the Jackpot Erin McCarthy Fiction
Prince of Ice,Emma Holly,Fiction,3.99,1323.0,Prince of Ice Emma Holly Fiction
Checkmate,David Michaels;Tom Clancy,Fiction,3.93,3815.0,Checkmate David Michaels;Tom Clancy Fiction
Shakespeare's Champion,Charlaine Harris,Fiction,3.83,13645.0,Shakespeare's Champion Charlaine Harris Fiction
Cause of Death,Patricia Daniels Cornwell,Fiction,3.93,37965.0,Cause of Death Patricia Daniels Cornwell Fiction
Over the Moon,Angela Knight;MaryJanice Davidson;Virginia Kantra;Sunny,Fiction,3.9,3651.0,Over the Moon Angela Knight;MaryJanice Davidson;Virginia Kantra;Sunny Fiction
Wicked Ties,Shayla Black,Fiction,3.96,22083.0,Wicked Ties Shayla Black Fiction
Labyrinth,Kate Mosse,Fiction,3.57,39225.0,Labyrinth Kate Mosse Fiction
Master of Dragons,Angela Knight,Fiction,4.22,3155.0,Master of Dragons Angela Knight Fiction
Eyes of Prey,John Sandford,Fiction,4.18,18139.0,Eyes of Prey John Sandford Fiction
At Risk,Patricia Daniels Cornwell,Fiction,3.4,9832.0,At Risk Patricia Daniels Cornwell Fiction
Goddess of Love,P. C. Cast,Fiction,4.05,4359.0,Goddess of Love P. C. Cast Fiction
New Moon,Rebecca York,Fiction,3.86,626.0,New Moon Rebecca York Fiction
The Harlequin,Laurell K. Hamilton,Fiction,3.91,37413.0,The Harlequin Laurell K. Hamilton Fiction
Cat's Cradle,Andrew Cartmel,Fiction,3.52,391.0,Cat's Cradle Andrew Cartmel Fiction
The Hannibal Lecter Trilogy,Thomas Harris,"Lecter, Hannibal (Fictitious character)",4.42,789.0,"The Hannibal Lecter Trilogy Thomas Harris Lecter, Hannibal (Fictitious character)"
His Dark Materials,Nicholas Wright;Philip Pullman,Children's plays,4.04,93.0,His Dark Materials Nicholas Wright;Philip Pullman Children's plays
When Rain Clouds Gather,Bessie Head,Fiction,3.84,993.0,When Rain Clouds Gather Bessie Head Fiction
The Complete Works of George Orwell,George Orwell,Classic,4.11,20.0,The Complete Works of George Orwell George Orwell Classic
Harry Potter and the Chamber of Secrets (Book 2),"Rowling, J.K.",Juvenile Fiction,4.41,2115562.0,"Harry Potter and the Chamber of Secrets (Book 2) Rowling, J.K. Juvenile Fiction"
10 Things I Hate about You,David Levithan;Karen McCullah Lutz;Kirsten Smith,Dating (Social customs),4.11,1414.0,10 Things I Hate about You David Levithan;Karen McCullah Lutz;Kirsten Smith Dating (Social customs)
The Mouse and His Child,Russell Hoban;David Small,Juvenile Fiction,3.97,1780.0,The Mouse and His Child Russell Hoban;David Small Juvenile Fiction
Castle,Garth Nix,Juvenile Fiction,3.87,5656.0,Castle Garth Nix Juvenile Fiction
The Violet Keystone,Garth Nix,Juvenile Fiction,3.97,4984.0,The Violet Keystone Garth Nix Juvenile Fiction
The Pen is Mightier Than the Sword,Anne Mazer,Juvenile Fiction,3.96,1063.0,The Pen is Mightier Than the Sword Anne Mazer Juvenile Fiction
"Mary, Queen of Scots, Queen Without a Country",Kathryn Lasky,Juvenile Fiction,3.82,4682.0,"Mary, Queen of Scots, Queen Without a Country Kathryn Lasky Juvenile Fiction"
The Call of the Wild,Jack London,Juvenile Fiction,3.85,255627.0,The Call of the Wild Jack London Juvenile Fiction
Holes,Louis Sachar,Blind,3.95,844072.0,Holes Louis Sachar Blind
Freak the Mighty,W. Rodman Philbrick,Juvenile Fiction,4.0,39447.0,Freak the Mighty W. Rodman Philbrick Juvenile Fiction
Alice in Wonderland,Lewis Carroll,Juvenile Fiction,4.01,133.0,Alice in Wonderland Lewis Carroll Juvenile Fiction
No More Dead Dogs,Gordon Korman,Drama,3.71,11.0,No More Dead Dogs Gordon Korman Drama
Conversations with J.K. Rowling,Lindsey Fraser,Juvenile Nonfiction,3.99,4184.0,Conversations with J.K. Rowling Lindsey Fraser Juvenile Nonfiction
Quidditch Through the Ages,J. K. Rowling,"Animals, Mythical",4.4,11459.0,"Quidditch Through the Ages J. K. Rowling Animals, Mythical"
Every cloud has a silver lining,Anne Mazer,Diaries,3.93,29.0,Every cloud has a silver lining Anne Mazer Diaries
