title,authors,categories,average_rating,ratings_count,combined_features
Death in the Andamans,M. M. Kaye,Fiction,3.93,813.0,Death in the Andamans M. M. Kaye Fiction
Death in Berlin,M. M. Kaye,Fiction,3.89,839.0,Death in Berlin M. M. Kaye Fiction
Death in Kashmir,M. M. Kaye,Fiction,3.95,1435.0,Death in Kashmir M. M. Kaye Fiction
Four Mothers,Shifra Horn;Dalya Bilu,Fiction,3.69,198.0,Four Mothers Shifra Horn;Dalya Bilu Fiction
Timbuktu,Paul Auster,Fiction,3.68,9200.0,Timbuktu Paul Auster Fiction
The Italian Girl,Patricia Hall,Fiction,3.4,33.0,The Italian Girl Patricia Hall Fiction
The Naked and the Dead,Norman Mailer,Fiction,3.94,20541.0,The Naked and the Dead Norman Mailer Fiction
Enchanted Evening,M. M. Kaye,Biography & Autobiography,4.38,97.0,Enchanted Evening M. M. Kaye Biography & Autobiography
The Illustrated Story Of O,Pauline Reage,Photography,4.0,25.0,The Illustrated Story Of O Pauline Reage Photography
Catfish and Mandala,Andrew X. Pham,Biography & Autobiography,3.96,4541.0,Catfish and Mandala Andrew X. Pham Biography & Autobiography
The Satanic Verses,Salman Rushdie,Fiction,3.71,41709.0,The Satanic Verses Salman Rushdie Fiction
Absent in the Spring and Other Novels,Mary Westmacott;Agatha Christie,Fiction,4.19,88.0,Absent in the Spring and Other Novels Mary Westmacott;Agatha Christie Fiction
Round Ireland with a Fridge,Tony Hawks,Travel,3.79,14661.0,Round Ireland with a Fridge Tony Hawks Travel
An Unfortunate Woman,Richard Brautigan,Fiction,3.78,1312.0,An Unfortunate Woman Richard Brautigan Fiction
The Glass Bead Game,Hermann Hesse,Fiction,4.11,24035.0,The Glass Bead Game Hermann Hesse Fiction
Emotionally Weird,Kate Atkinson,Fiction,3.45,5066.0,Emotionally Weird Kate Atkinson Fiction
A Writer's Workbook,Caroline Sharp;Elizabeth Gilbert,Language Arts & Disciplines,3.71,148.0,A Writer's Workbook Caroline Sharp;Elizabeth Gilbert Language Arts & Disciplines
Waiting for My Cats to Die,Stacy Horn,Biography & Autobiography,3.67,173.0,Waiting for My Cats to Die Stacy Horn Biography & Autobiography
Serious Girls,Maxine Swann,Fiction,3.19,202.0,Serious Girls Maxine Swann Fiction
Lords of the White Castle,Elizabeth Chadwick,Fiction,4.21,1485.0,Lords of the White Castle Elizabeth Chadwick Fiction
The Christmas Shoes,Donna VanLiere,Fiction,4.23,31800.0,The Christmas Shoes Donna VanLiere Fiction
Education As My Agenda,Gertrude S. Williams;Jo Ann Robinson,Biography & Autobiography,4.25,4.0,Education As My Agenda Gertrude S. Williams;Jo Ann Robinson Biography & Autobiography
Banvard's Folly,Paul Collins,History,3.97,498.0,Banvard's Folly Paul Collins History
The Last Jew,Noah Gordon,Fiction,4.08,4119.0,The Last Jew Noah Gordon Fiction
How to Write a Damn Good Mystery,James N. Frey,Language Arts & Disciplines,3.97,305.0,How to Write a Damn Good Mystery James N. Frey Language Arts & Disciplines
Jenny and the Jaws of Life,Jincy Willett,Fiction,3.74,1285.0,Jenny and the Jaws of Life Jincy Willett Fiction
Plum Lovin',Janet Evanovich,Fiction,3.72,46237.0,Plum Lovin' Janet Evanovich Fiction
McCarthy's Bar,Pete McCarthy,Travel,3.79,8589.0,McCarthy's Bar Pete McCarthy Travel
The Pythons,Graham Chapman;John Cleese;Terry Gilliam;Michael Palin;Eric Idle;Terry Jones,Biography & Autobiography,4.08,73.0,The Pythons Graham Chapman;John Cleese;Terry Gilliam;Michael Palin;Eric Idle;Terry Jones Biography & Autobiography
The Little Princesses,Marion Crawford,Biography & Autobiography,4.0,378.0,The Little Princesses Marion Crawford Biography & Autobiography
The New York Times Guide to Essential Knowledge,The New York Times,Reference,4.09,150.0,The New York Times Guide to Essential Knowledge The New York Times Reference
Little Children,Tom Perrotta,Fiction,3.62,25811.0,Little Children Tom Perrotta Fiction
The Gatekeeper,Terry Eagleton,Biography & Autobiography,3.8,94.0,The Gatekeeper Terry Eagleton Biography & Autobiography
Dominion,Matthew Scully,Nature,4.16,1131.0,Dominion Matthew Scully Nature
SPQR VI: Nobody Loves a Centurion,John Maddox Roberts,Fiction,4.13,626.0,SPQR VI: Nobody Loves a Centurion John Maddox Roberts Fiction
Something Borrowed,Emily Giffin,Fiction,3.84,439930.0,Something Borrowed Emily Giffin Fiction
P.S. Your Cat Is Dead,James Kirkwood,Fiction,3.75,1291.0,P.S. Your Cat Is Dead James Kirkwood Fiction
Something Blue,Emily Giffin,Fiction,3.93,186552.0,Something Blue Emily Giffin Fiction
All Things Bright and Beautiful,James Herriot,Biography & Autobiography,4.31,60280.0,All Things Bright and Beautiful James Herriot Biography & Autobiography
Inside the Mind of Gideon Rayburn,Sarah Miller,Juvenile Fiction,3.39,1066.0,Inside the Mind of Gideon Rayburn Sarah Miller Juvenile Fiction
Spider Mountain,P. T. Deutermann,Fiction,3.91,447.0,Spider Mountain P. T. Deutermann Fiction
Where the Mountain Casts Its Shadow,Maria Coffey,Biography & Autobiography,3.89,366.0,Where the Mountain Casts Its Shadow Maria Coffey Biography & Autobiography
Sideways,Rex Pickett,Fiction,3.69,4365.0,Sideways Rex Pickett Fiction
Baby Proof,Emily Giffin,Fiction,3.71,136644.0,Baby Proof Emily Giffin Fiction
Lean Mean Thirteen,Janet Evanovich,Fiction,4.09,78572.0,Lean Mean Thirteen Janet Evanovich Fiction
The Last Wife of Henry VIII,Carolly Erickson,Fiction,3.88,10519.0,The Last Wife of Henry VIII Carolly Erickson Fiction
The Forsaken,L. A. Banks,Fiction,4.35,1860.0,The Forsaken L. A. Banks Fiction
A Woman of Substance,Barbara Taylor Bradford,Fiction,4.17,33783.0,A Woman of Substance Barbara Taylor Bradford Fiction
The Red Tent,Anita Diamant,Fiction,4.17,453899.0,The Red Tent Anita Diamant Fiction
Dirty Little Secrets,Joy King,Fiction,4.16,302.0,Dirty Little Secrets Joy King Fiction
Think Like a Guy,Giuliana Depandi,Family & Relationships,3.15,115.0,Think Like a Guy Giuliana Depandi Family & Relationships
The Ravenscar Dynasty,Barbara Taylor Bradford,Fiction,3.61,1241.0,The Ravenscar Dynasty Barbara Taylor Bradford Fiction
The Devil in the Junior League,Linda Francis Lee,Fiction,3.62,3790.0,The Devil in the Junior League Linda Francis Lee Fiction
The Silver Pigs,Lindsey Davis,Fiction,3.94,8592.0,The Silver Pigs Lindsey Davis Fiction
The Mystery Method,Mystery;Chris Odom,Family & Relationships,3.71,2059.0,The Mystery Method Mystery;Chris Odom Family & Relationships
Marked,P. C. Cast;Kristin Cast,Juvenile Fiction,3.8,388266.0,Marked P. C. Cast;Kristin Cast Juvenile Fiction
Let's Go Australia 9th Edition,Let's Go Inc,Travel,3.92,8.0,Let's Go Australia 9th Edition Let's Go Inc Travel
"The Paris Review Interviews, I",The Paris Review,Biography & Autobiography,4.38,838.0,"The Paris Review Interviews, I The Paris Review Biography & Autobiography"
More Plums in One,Janet Evanovich,Fiction,4.44,209.0,More Plums in One Janet Evanovich Fiction
James Herriot's Dog Stories,James Herriot,Pets,4.4,5558.0,James Herriot's Dog Stories James Herriot Pets
Beatrix Potter,Linda Lear,Biography & Autobiography,4.03,1270.0,Beatrix Potter Linda Lear Biography & Autobiography
The Twenty-Seventh City,Jonathan Franzen,Fiction,3.12,3511.0,The Twenty-Seventh City Jonathan Franzen Fiction
"Haussmann, Or the Distinction",Paul LaFarge,Fiction,3.64,150.0,"Haussmann, Or the Distinction Paul LaFarge Fiction"
The Journey to the East,Hermann Hesse,Fiction,3.7,7716.0,The Journey to the East Hermann Hesse Fiction
This Side of Brightness,Colum McCann,Fiction,3.85,2410.0,This Side of Brightness Colum McCann Fiction
What Was She Thinking?,Zoë Heller,Fiction,3.71,13150.0,What Was She Thinking? Zoë Heller Fiction
Middlesex,Jeffrey Eugenides,Fiction,3.99,526111.0,Middlesex Jeffrey Eugenides Fiction
The Interpreter,Suki Kim,Fiction,3.55,917.0,The Interpreter Suki Kim Fiction
Hand to Mouth,Paul Auster,Biography & Autobiography,3.62,1552.0,Hand to Mouth Paul Auster Biography & Autobiography
A Feather on the Breath of God,Sigrid Nunez,Fiction,3.87,447.0,A Feather on the Breath of God Sigrid Nunez Fiction
Galatea 2.2,Richard Powers,Fiction,3.72,2063.0,Galatea 2.2 Richard Powers Fiction
Mason & Dixon,Thomas Pynchon,Fiction,4.06,7756.0,Mason & Dixon Thomas Pynchon Fiction
The River at the Center of the World,Simon Winchester,Travel,3.92,1359.0,The River at the Center of the World Simon Winchester Travel
Primo Levi,Ian Thomson,Biography & Autobiography,4.14,103.0,Primo Levi Ian Thomson Biography & Autobiography
Dry,Augusten Burroughs,Biography & Autobiography,4.02,75017.0,Dry Augusten Burroughs Biography & Autobiography
A Home at the End of the World,Michael Cunningham,Fiction,3.9,14277.0,A Home at the End of the World Michael Cunningham Fiction
Call It Sleep,Henry Roth,Fiction,3.83,292.0,Call It Sleep Henry Roth Fiction
I Am Charlotte Simmons,Tom Wolfe,Fiction,3.41,20508.0,I Am Charlotte Simmons Tom Wolfe Fiction
Small Island,Andrea Levy,Fiction,3.93,20087.0,Small Island Andrea Levy Fiction
Collected Prose,Paul Auster,Literary Collections,4.04,272.0,Collected Prose Paul Auster Literary Collections
Saints at the River,Ron Rash,Fiction,3.8,2853.0,Saints at the River Ron Rash Fiction
Chemistry and Other Stories,Ron Rash,Fiction,4.19,576.0,Chemistry and Other Stories Ron Rash Fiction
Vita,Melania G. Mazzucco,Fiction,3.74,528.0,Vita Melania G. Mazzucco Fiction
Night Draws Near,Anthony Shadid,History,4.11,614.0,Night Draws Near Anthony Shadid History
A Woman in Berlin,Anonymous,Biography & Autobiography,4.32,5754.0,A Woman in Berlin Anonymous Biography & Autobiography
The Brooklyn Follies,Paul Auster,Fiction,3.83,17317.0,The Brooklyn Follies Paul Auster Fiction
Limitations,Scott Turow,Fiction,3.33,1681.0,Limitations Scott Turow Fiction
The Price of the Ticket,James Baldwin,Literary Criticism,4.7,396.0,The Price of the Ticket James Baldwin Literary Criticism
The Humanoids,Jack Williamson,Fiction,3.75,880.0,The Humanoids Jack Williamson Fiction
"The Demon Princes, Vol. 1",Jack Vance,Fiction,4.25,1109.0,"The Demon Princes, Vol. 1 Jack Vance Fiction"
The Memory of Whiteness,Kim Stanley Robinson,Fiction,3.56,431.0,The Memory of Whiteness Kim Stanley Robinson Fiction
Xenocide,Orson Scott Card,Fiction,3.79,115661.0,Xenocide Orson Scott Card Fiction
Ports of Call,Jack Vance,Fiction,3.53,395.0,Ports of Call Jack Vance Fiction
"The Demon Princes, Vol. 2",Jack Vance,Fiction,4.3,641.0,"The Demon Princes, Vol. 2 Jack Vance Fiction"
Jack of Kinrowan,Charles de Lint,Fiction,4.11,3648.0,Jack of Kinrowan Charles de Lint Fiction
Lurulu,Jack Vance,Fiction,3.58,268.0,Lurulu Jack Vance Fiction
The Land of Laughs,Jonathan Carroll,Fiction,3.9,4218.0,The Land of Laughs Jonathan Carroll Fiction
Tales of the Dying Earth,Jack Vance,Fiction,4.14,3919.0,Tales of the Dying Earth Jack Vance Fiction
The Fantasies of Robert A. Heinlein,Robert A. Heinlein,Fiction,3.9,774.0,The Fantasies of Robert A. Heinlein Robert A. Heinlein Fiction
Songmaster,Orson Scott Card,Fiction,3.73,6307.0,Songmaster Orson Scott Card Fiction
Lovelock,Orson Scott Card;Kathryn H. Kidd,Fiction,3.46,2115.0,Lovelock Orson Scott Card;Kathryn H. Kidd Fiction
Duel,Richard Matheson,Fiction,4.05,1752.0,Duel Richard Matheson Fiction
The Collected Stories of Arthur C. Clarke,Arthur C. Clarke,Fiction,4.3,3964.0,The Collected Stories of Arthur C. Clarke Arthur C. Clarke Fiction
Sword & Citadel,Gene Wolfe,Fiction,4.31,9103.0,Sword & Citadel Gene Wolfe Fiction
The Starry Rift,James Tiptree,Fiction,3.82,220.0,The Starry Rift James Tiptree Fiction
Pacific Edge,Kim Stanley Robinson,Fiction,3.78,1154.0,Pacific Edge Kim Stanley Robinson Fiction
Devil's Backbone,Terry C. Johnston,Fiction,4.17,102.0,Devil's Backbone Terry C. Johnston Fiction
The Circle,David Poyer,Fiction,4.08,337.0,The Circle David Poyer Fiction
Faking It,Jennifer Crusie,Fiction,3.92,16443.0,Faking It Jennifer Crusie Fiction
Welcome to Temptation,Jennifer Crusie,Fiction,3.95,28454.0,Welcome to Temptation Jennifer Crusie Fiction
Full Bloom,Janet Evanovich;Charlotte Hughes,Fiction,3.81,11877.0,Full Bloom Janet Evanovich;Charlotte Hughes Fiction
Full Scoop,Janet Evanovich;Charlotte Hughes,Fiction,3.79,11908.0,Full Scoop Janet Evanovich;Charlotte Hughes Fiction
The Damned,L. A. Banks,Fiction,4.28,1975.0,The Damned L. A. Banks Fiction
The Cursed One,Ronda Thompson,Fiction,4.02,998.0,The Cursed One Ronda Thompson Fiction
A Quiver Full of Arrows,Jeffrey Archer,Fiction,3.78,8944.0,A Quiver Full of Arrows Jeffrey Archer Fiction
The Hunted,L. A. Banks,Fiction,4.14,2705.0,The Hunted L. A. Banks Fiction
The Forbidden,L. A. Banks,Fiction,4.27,2115.0,The Forbidden L. A. Banks Fiction
When the Lion Feeds,Wilbur Smith,Fiction,4.18,9802.0,When the Lion Feeds Wilbur Smith Fiction
A Sparrow Falls,Wilbur Smith,Fiction,4.17,4772.0,A Sparrow Falls Wilbur Smith Fiction
The Unfortunate Miss Fortunes,Jennifer Crusie;Eileen Dreyer;Anne Stuart,Fiction,3.47,3219.0,The Unfortunate Miss Fortunes Jennifer Crusie;Eileen Dreyer;Anne Stuart Fiction
Hot Stuff,Janet Evanovich;Leanne Banks,Fiction,3.74,9068.0,Hot Stuff Janet Evanovich;Leanne Banks Fiction
Two for the Dough,Janet Evanovich,Fiction,4.11,2441.0,Two for the Dough Janet Evanovich Fiction
The Edge of Honor,P. T. Deutermann,Fiction,3.96,162.0,The Edge of Honor P. T. Deutermann Fiction
Wings of Fire,Charles Todd,Fiction,3.99,4787.0,Wings of Fire Charles Todd Fiction
All Creatures Great and Small,James Herriot,Biography & Autobiography,4.32,65381.0,All Creatures Great and Small James Herriot Biography & Autobiography
The Lord God Made Them All,James Herriot,Biography & Autobiography,4.41,12547.0,The Lord God Made Them All James Herriot Biography & Autobiography
Four to Score,Janet Evanovich,Fiction,4.17,114593.0,Four to Score Janet Evanovich Fiction
"Thrones, Dominations",Dorothy L. Sayers;Jill Paton Walsh,Fiction,3.88,162.0,"Thrones, Dominations Dorothy L. Sayers;Jill Paton Walsh Fiction"
Black Coffee,Agatha Christie,Fiction,3.48,9592.0,Black Coffee Agatha Christie Fiction
El Paso,Matt Braun,Fiction,3.4,22.0,El Paso Matt Braun Fiction
Search the Dark,Charles Todd,Fiction,4.0,3717.0,Search the Dark Charles Todd Fiction
What the Corpse Revealed,Hugh Miller,True Crime,3.79,288.0,What the Corpse Revealed Hugh Miller True Crime
Name Dropping,Rachael F. Heller,Fiction,3.53,687.0,Name Dropping Rachael F. Heller Fiction
Seven Up,Janet Evanovich,Fiction,4.16,101029.0,Seven Up Janet Evanovich Fiction
Hardcase,Dan Simmons,Fiction,3.69,1067.0,Hardcase Dan Simmons Fiction
Warlock,Wilbur Smith,Fiction,4.04,10830.0,Warlock Wilbur Smith Fiction
Crooked House,Agatha Christie,Fiction,4.02,22176.0,Crooked House Agatha Christie Fiction
Abandoned Prayers,Gregg Olsen,True Crime,3.78,1410.0,Abandoned Prayers Gregg Olsen True Crime
The Sigma Protocol,Robert Ludlum,Fiction,3.79,9116.0,The Sigma Protocol Robert Ludlum Fiction
True Believers,Jane Haddam,Fiction,3.88,231.0,True Believers Jane Haddam Fiction
Full Blast,Janet Evanovich;Charlotte Hughes,Fiction,3.82,12104.0,Full Blast Janet Evanovich;Charlotte Hughes Fiction
Hard Eight,Janet Evanovich,Fiction,4.17,99289.0,Hard Eight Janet Evanovich Fiction
Eleven on Top,Janet Evanovich,Fiction,4.16,89961.0,Eleven on Top Janet Evanovich Fiction
Minion,L. A. Banks,Fiction,3.44,5437.0,Minion L. A. Banks Fiction
The Janson Directive,Robert Ludlum,Fiction,3.86,7098.0,The Janson Directive Robert Ludlum Fiction
The Tristan Betrayal,Robert Ludlum,Fiction,3.83,5810.0,The Tristan Betrayal Robert Ludlum Fiction
The Ambler Warning,Robert Ludlum,Fiction,3.72,9104.0,The Ambler Warning Robert Ludlum Fiction
Robert Ludlum's The Moscow Vector,Robert Ludlum;Patrick Larkin,Fiction,3.98,6218.0,Robert Ludlum's The Moscow Vector Robert Ludlum;Patrick Larkin Fiction
The Firefly,P. T. Deutermann,Fiction,3.76,301.0,The Firefly P. T. Deutermann Fiction
As the Crow Flies,Jeffrey Archer,Fiction,4.08,15772.0,As the Crow Flies Jeffrey Archer Fiction
Dakota,Matt Braun,Fiction,3.69,30.0,Dakota Matt Braun Fiction
The Fantastic Vampire,James Craig Holte,Literary Criticism,0.0,0.0,The Fantastic Vampire James Craig Holte Literary Criticism
From Hinton to Hamlet,Sarah K. Herz;Donald R. Gallo,Literary Criticism,4.01,62.0,From Hinton to Hamlet Sarah K. Herz;Donald R. Gallo Literary Criticism
SantaKid,James Patterson,Juvenile Fiction,3.89,850.0,SantaKid James Patterson Juvenile Fiction
Trials of Death,Darren Shan,Juvenile Fiction,4.25,23943.0,Trials of Death Darren Shan Juvenile Fiction
Oblivion,David Foster Wallace,Fiction,4.07,10211.0,Oblivion David Foster Wallace Fiction
Julie and Julia,Julie Powell,Biography & Autobiography,3.7,2229.0,Julie and Julia Julie Powell Biography & Autobiography
The Truth of the Matter,Robb Forman Dew,Fiction,3.06,187.0,The Truth of the Matter Robb Forman Dew Fiction
The Beatles,Bob Spitz,Biography & Autobiography,4.15,8735.0,The Beatles Bob Spitz Biography & Autobiography
Twilight,Stephenie Meyer,Young Adult Fiction,3.59,4367341.0,Twilight Stephenie Meyer Young Adult Fiction
Cirque Du Freak #10: The Lake of Souls,Darren Shan,Young Adult Fiction,4.19,18011.0,Cirque Du Freak #10: The Lake of Souls Darren Shan Young Adult Fiction
The Terror,Dan Simmons,Fiction,4.05,28640.0,The Terror Dan Simmons Fiction
Hollywood Station,Joseph Wambaugh,Fiction,3.72,2030.0,Hollywood Station Joseph Wambaugh Fiction
The Harry Bosch Novels,Michael Connelly,Fiction,4.34,1966.0,The Harry Bosch Novels Michael Connelly Fiction
Consider the Lobster,David Foster Wallace,Literary Criticism & Collections,4.25,30787.0,Consider the Lobster David Foster Wallace Literary Criticism & Collections
The Bookseller of Kabul,Asne Seierstad,Biography & Autobiography,3.77,33499.0,The Bookseller of Kabul Asne Seierstad Biography & Autobiography
Yiddish with Dick and Jane,Ellis Weiner;Barbara Davilman,Humor,3.91,365.0,Yiddish with Dick and Jane Ellis Weiner;Barbara Davilman Humor
The Lovely Bones,Alice Sebold,Fiction,3.79,5776.0,The Lovely Bones Alice Sebold Fiction
Blink,Malcolm Gladwell,Business & Economics,3.92,4089.0,Blink Malcolm Gladwell Business & Economics
Paint it Black,Janet Fitch,Fiction,3.48,9884.0,Paint it Black Janet Fitch Fiction
"The World Treasury of Physics, Astronomy, and Mathematics",Timothy Ferris;Clifton Fadiman,Education,4.12,361.0,"The World Treasury of Physics, Astronomy, and Mathematics Timothy Ferris;Clifton Fadiman Education"
White Oleander,Janet Fitch,Fiction,3.95,3031.0,White Oleander Janet Fitch Fiction
Midnight Riders,Scott Freeman,Music,3.98,268.0,Midnight Riders Scott Freeman Music
The Magus,John Fowles,Fiction,4.05,36909.0,The Magus John Fowles Fiction
Mythology,Edith Hamilton,Social Science,3.99,34223.0,Mythology Edith Hamilton Social Science
"Last Lion, The: Volume 1",William Manchester,Biography & Autobiography,4.43,328.0,"Last Lion, The: Volume 1 William Manchester Biography & Autobiography"
Candy,Mian Mian,Fiction,3.31,1137.0,Candy Mian Mian Fiction
The Black Veil,Rick Moody,Family & Relationships,3.06,391.0,The Black Veil Rick Moody Family & Relationships
"Harry Bosch Novels, The: Volume 2",Michael Connelly,Fiction,4.48,1952.0,"Harry Bosch Novels, The: Volume 2 Michael Connelly Fiction"
Miracle on the 17th Green,James Patterson;Peter De Jonge,Fiction,3.66,3558.0,Miracle on the 17th Green James Patterson;Peter De Jonge Fiction
The Ice Storm,Rick Moody,Fiction,3.67,4482.0,The Ice Storm Rick Moody Fiction
Gossip Girl #6: You're the One That I Want,Cecily von Ziegesar,Juvenile Fiction,3.71,17665.0,Gossip Girl #6: You're the One That I Want Cecily von Ziegesar Juvenile Fiction
The Catcher in the Rye,J.D. Salinger,Fiction,3.8,18849.0,The Catcher in the Rye J.D. Salinger Fiction
Mind Over Money,John W. Schott;Jean S. Arbeiter,Business & Economics,2.67,3.0,Mind Over Money John W. Schott;Jean S. Arbeiter Business & Economics
Strangers from a Different Shore,Ronald Takaki,History,4.12,851.0,Strangers from a Different Shore Ronald Takaki History
Stephen King Omnibus,Stephen King,New England,4.29,489.0,Stephen King Omnibus Stephen King New England
Vampire Mountain,Darren Shan,Juvenile Fiction,4.17,25759.0,Vampire Mountain Darren Shan Juvenile Fiction
An Unfinished Life,Robert Dallek,Biography & Autobiography,4.07,7695.0,An Unfinished Life Robert Dallek Biography & Autobiography
Gossip Girl #1,Cecily von Ziegesar,Young Adult Fiction,3.51,53230.0,Gossip Girl #1 Cecily von Ziegesar Young Adult Fiction
Gossip Girl #3: All I Want is Everything,Cecily von Ziegesar,Young Adult Fiction,3.55,16202.0,Gossip Girl #3: All I Want is Everything Cecily von Ziegesar Young Adult Fiction
A Supposedly Fun Thing I'll Never Do Again,David Foster Wallace,Humor,4.27,702.0,A Supposedly Fun Thing I'll Never Do Again David Foster Wallace Humor
Brideshead Revisited,Evelyn Waugh,Fiction,4.0,76839.0,Brideshead Revisited Evelyn Waugh Fiction
The Complete Stories of Evelyn Waugh,Evelyn Waugh,Fiction,4.0,743.0,The Complete Stories of Evelyn Waugh Evelyn Waugh Fiction
Don't Stop the Carnival,Herman Wouk,Fiction,3.93,2580.0,Don't Stop the Carnival Herman Wouk Fiction
Youngblood Hawke,Herman Wouk,Fiction,4.02,1208.0,Youngblood Hawke Herman Wouk Fiction
American Government,Karen O'Connor;Larry Sabato,Political Science,2.95,1.0,American Government Karen O'Connor;Larry Sabato Political Science
Essentials of American Government,Karen O'Connor;Larry J. Sabato,Political Science,3.5,4.0,Essentials of American Government Karen O'Connor;Larry J. Sabato Political Science
The Non-designer's Web Book,Robin Williams;John Tollett,Computers,3.65,205.0,The Non-designer's Web Book Robin Williams;John Tollett Computers
Don't Make Me Think!,Steve Krug,Computers,4.24,7623.0,Don't Make Me Think! Steve Krug Computers
"Mary Wollstonecraft Shelley's Frankenstein, or, The modern Prometheus",Mary Wollstonecraft Shelley;Susan J. Wolfson,Fiction,3.78,226.0,"Mary Wollstonecraft Shelley's Frankenstein, or, The modern Prometheus Mary Wollstonecraft Shelley;Susan J. Wolfson Fiction"
Oscar Wilde's The Picture of Dorian Gray,Oscar Wilde;Andrew Elfenbein,Fiction,4.07,119.0,Oscar Wilde's The Picture of Dorian Gray Oscar Wilde;Andrew Elfenbein Fiction
Andrew Carnegie and the Rise of Big Business,Harold C. Livesay,Biography & Autobiography,3.27,28.0,Andrew Carnegie and the Rise of Big Business Harold C. Livesay Biography & Autobiography
The Power of One,Louis E. Catron,Performing Arts,3.79,10.0,The Power of One Louis E. Catron Performing Arts
The Little Prince,Antoine de Saint-Exupéry;Katherine Woods,"Children's literature, French",4.3,50.0,"The Little Prince Antoine de Saint-Exupéry;Katherine Woods Children's literature, French"
The Thirteenth Tribe,Arthur Koestler,Jews,3.91,9.0,The Thirteenth Tribe Arthur Koestler Jews
Running in the Family,Michael Ondaatje,"Authors, Canadian",3.84,123.0,"Running in the Family Michael Ondaatje Authors, Canadian"
The Circus of Adventure,Enid Blyton,Juvenile Fiction,4.1,1856.0,The Circus of Adventure Enid Blyton Juvenile Fiction
The Island of Adventure,Enid Blyton,Abandoned mines,4.06,3020.0,The Island of Adventure Enid Blyton Abandoned mines
The African Trilogy,Chinua Achebe,English fiction,4.28,237.0,The African Trilogy Chinua Achebe English fiction
A Gift of Wings,Richard Bach,Air pilots,3.79,1636.0,A Gift of Wings Richard Bach Air pilots
The Orchard Keeper,Cormac McCarthy,Community life,3.55,5392.0,The Orchard Keeper Cormac McCarthy Community life
The Real Frank Zappa Book,Frank Zappa;Peter Occhiogrosso,Rock musicians,4.14,4765.0,The Real Frank Zappa Book Frank Zappa;Peter Occhiogrosso Rock musicians
A Dangerous Fortune,Ken Follett,"Banks and banking, British",4.03,147.0,"A Dangerous Fortune Ken Follett Banks and banking, British"
The Border Trilogy,Cormac McCarthy,Fiction,4.43,319.0,The Border Trilogy Cormac McCarthy Fiction
Misreadings,Umberto Eco,Literary Criticism,3.86,694.0,Misreadings Umberto Eco Literary Criticism
Vurt,Jeff Noon,Brothers and sisters,4.06,412.0,Vurt Jeff Noon Brothers and sisters
In Pharaoh's Army,Tobias Wolff,"Authors, American",4.08,21.0,"In Pharaoh's Army Tobias Wolff Authors, American"
The Reality Dysfunction,Peter F. Hamilton,English fiction,4.14,26269.0,The Reality Dysfunction Peter F. Hamilton English fiction
Paper Money,Ken Follett,Conspiracies,3.31,94.0,Paper Money Ken Follett Conspiracies
An Unquiet Mind,Kay Redfield Jamison,Biography & Autobiography,4.05,297.0,An Unquiet Mind Kay Redfield Jamison Biography & Autobiography
The Golden Key,Melanie Rawn;Jennifer Roberson;Kate Elliott,Families,3.81,34.0,The Golden Key Melanie Rawn;Jennifer Roberson;Kate Elliott Families
Into the Wild,Jon Krakauer,True Crime,3.97,1268.0,Into the Wild Jon Krakauer True Crime
A Second Chance at Eden,Peter F. Hamilton,Science fiction,4.02,3844.0,A Second Chance at Eden Peter F. Hamilton Science fiction
The Memoirs of Cleopatra,Margaret George,Egypt,4.18,15260.0,The Memoirs of Cleopatra Margaret George Egypt
Just Disgusting!,Andy Griffiths,Australian fiction,3.81,67.0,Just Disgusting! Andy Griffiths Australian fiction
Bridget Jones,Helen Fielding,Diary fiction,3.56,957.0,Bridget Jones Helen Fielding Diary fiction
Rumer Godden,Anne Chisholm,British,3.83,9.0,Rumer Godden Anne Chisholm British
Hot Six,Janet Evanovich,Bail bond agents,4.19,300.0,Hot Six Janet Evanovich Bail bond agents
The Sign of the Cross,Colm Tóibín,Catholics,3.8,21.0,The Sign of the Cross Colm Tóibín Catholics
Them,Jon Ronson,Political leadership,3.95,991.0,Them Jon Ronson Political leadership
Just as Long as We're Together,Judy Blume,Families,4.07,9190.0,Just as Long as We're Together Judy Blume Families
Hour Game,David Baldacci,Fiction,3.97,204.0,Hour Game David Baldacci Fiction
Bosnia,Noel Malcolm,Bosnia and Hercegovina,4.06,33.0,Bosnia Noel Malcolm Bosnia and Hercegovina
Every Boy's Got One,Meg Cabot,Americans,3.77,20562.0,Every Boy's Got One Meg Cabot Americans
Under the Banner of Heaven,Jon Krakauer,Mormon fundamentalism,3.99,126672.0,Under the Banner of Heaven Jon Krakauer Mormon fundamentalism
Downsize This!,Michael Moore,American Wit And Humour,3.62,4102.0,Downsize This! Michael Moore American Wit And Humour
Marching Powder,Rusty Young,Cocaine industry,4.25,869.0,Marching Powder Rusty Young Cocaine industry
Absolute Power,David Baldacci,Murder,4.16,79864.0,Absolute Power David Baldacci Murder
Chasing the Monsoon,Alexander Frater,India,3.96,1065.0,Chasing the Monsoon Alexander Frater India
Indecision,Benjamin Kunkel,Fiction,2.86,2486.0,Indecision Benjamin Kunkel Fiction
Blackout,John J. Nance,Bombings,3.93,552.0,Blackout John J. Nance Bombings
American Psycho,Bret Easton Ellis,American fiction,3.82,835.0,American Psycho Bret Easton Ellis American fiction
